METER_NO,TASK,REASON
EX-2726156,Connect,09.04.2024 16:35:49 da haqdor: -31063.55
111210426060,Connect,09.04.2024 16:35:49 da haqdor: -7755
111200407043,Disconnect,09.04.2024 16:35:49 da qarzdor: 151893.63
021190495794,Connect,09.04.2024 16:35:49 da haqdor: -58789.57
111200519131,Connect,09.04.2024 16:35:49 da haqdor: -43188.57
021190321392,Connect,09.04.2024 16:35:50 da haqdor: -135301.23
EX-2832008,Connect,09.04.2024 16:35:50 da haqdor: -50409.18
121206439868,Disconnect,09.04.2024 16:35:50 da qarzdor: 239.89
111190379963,Disconnect,09.04.2024 16:35:50 da qarzdor: 520775.36
121206817683,Connect,09.04.2024 16:35:50 da haqdor: -46456.68
111210595407,Disconnect,09.04.2024 16:35:50 da qarzdor: 50790.68
021191007465,Connect,09.04.2024 16:35:50 da haqdor: -73509.59
EX-3213012,Connect,09.04.2024 16:35:50 da haqdor: -8882
111220048936,Connect,09.04.2024 16:35:50 da haqdor: -93066.85
021180061294,Connect,09.04.2024 16:35:50 da haqdor: -26289.17
121205719769,Connect,09.04.2024 16:35:50 da haqdor: -37214.03
121206045155,Connect,09.04.2024 16:35:50 da haqdor: -58861.5
111220153941,Disconnect,09.04.2024 16:35:50 da qarzdor: 982457.76
121205725572,Connect,09.04.2024 16:35:50 da haqdor: -72985.62
111200121861,Disconnect,09.04.2024 16:35:50 da qarzdor: 5241.51
EX-2498280,Connect,09.04.2024 16:35:50 da haqdor: -15791.78
111190300142,Connect,09.04.2024 16:35:50 da haqdor: -72298.77
021198015524,Connect,09.04.2024 16:35:50 da haqdor: -60092.3
021190278653,Connect,09.04.2024 16:35:50 da haqdor: -188078.3
EX-2583328,Connect,09.04.2024 16:35:50 da haqdor: -6919.45
121205895675,Disconnect,09.04.2024 16:35:51 da qarzdor: 30.1
METER_NO,TASK,REASON
111190002446,Disconnect,09.04.2024 16:25:47 da qarzdor: 2001.37
111210703725,Connect,09.04.2024 16:25:47 da haqdor: -10482.9
EX-2215141,Connect,09.04.2024 16:25:47 da haqdor: -7194.16
EX-2541001,Connect,09.04.2024 16:25:47 da haqdor: -95677.62
EX-2630780,Connect,09.04.2024 16:25:47 da haqdor: -107157.9
111210770763,Connect,09.04.2024 16:25:47 da haqdor: -22605.45
EX-2537461,Connect,09.04.2024 16:25:47 da haqdor: -1470.33
EX-2824169,Connect,09.04.2024 16:25:47 da haqdor: -56773.81
EX-2086694,Connect,09.04.2024 16:25:47 da haqdor: -99223.07
111210063205,Disconnect,09.04.2024 16:25:47 da qarzdor: 73848
021198276054,Connect,09.04.2024 16:25:47 da haqdor: -42355.9
111210752711,Disconnect,09.04.2024 16:25:47 da qarzdor: 262957.92
121205068769,Connect,09.04.2024 16:25:48 da haqdor: -99947.64
121206268910,Disconnect,09.04.2024 16:25:48 da qarzdor: 5958.83
EX-2792242,Connect,09.04.2024 16:25:48 da haqdor: -29483.45
111220005081,Disconnect,09.04.2024 16:25:48 da qarzdor: 192447.99
EX-3192212,Connect,09.04.2024 16:25:48 da haqdor: -25696.86
111220137361,Connect,09.04.2024 16:25:48 da haqdor: -25730
111200240031,Connect,09.04.2024 16:25:48 da haqdor: -40710.34
121205358392,Connect,09.04.2024 16:25:48 da haqdor: -6847.48
111190309107,Connect,09.04.2024 16:25:48 da haqdor: -40277.32
121205895551,Connect,09.04.2024 16:25:48 da haqdor: -17264.27
021191109919,Connect,09.04.2024 16:25:48 da haqdor: -15295.64
111210591017,Connect,09.04.2024 16:25:48 da haqdor: -2633.44
111190057941,Disconnect,09.04.2024 16:25:48 da qarzdor: 3201393.71
021218362886,Connect,09.04.2024 16:25:48 da haqdor: -54652.02
021198293929,Connect,09.04.2024 16:25:48 da haqdor: -82965.76
021198078196,Connect,09.04.2024 16:25:49 da haqdor: -43413.69
111200801528,Connect,09.04.2024 16:25:49 da haqdor: -64369.01
111190094451,Connect,09.04.2024 16:25:49 da haqdor: -9712.11
111200568620,Disconnect,09.04.2024 16:25:49 da qarzdor: 414991.4
111210070938,Connect,09.04.2024 16:25:49 da haqdor: -8220.81
111190066958,Disconnect,09.04.2024 16:25:49 da qarzdor: 276651.07
111210699536,Disconnect,09.04.2024 16:25:49 da qarzdor: 255169.96
023199007221,Connect,09.04.2024 16:25:49 da haqdor: -123003.32
021180017749,Connect,09.04.2024 16:25:49 da haqdor: -1009
021180018908,Connect,09.04.2024 16:25:49 da haqdor: -13502.3
111200728091,Disconnect,09.04.2024 16:25:49 da qarzdor: 278042.56
111210045129,Connect,09.04.2024 16:25:49 da haqdor: -131577.12
021190318160,Disconnect,09.04.2024 16:25:49 da qarzdor: 4746.14
111210559960,Disconnect,09.04.2024 16:25:49 da qarzdor: 282225.73
021190851448,Connect,09.04.2024 16:25:49 da haqdor: -47332.56
121205075814,Connect,09.04.2024 16:25:49 da haqdor: -15571.24
111190073650,Disconnect,09.04.2024 16:25:49 da qarzdor: 1512366.64
111220022744,Disconnect,09.04.2024 16:25:49 da qarzdor: 870
111200664680,Connect,09.04.2024 16:25:49 da haqdor: -22440.7
021190923538,Connect,09.04.2024 16:25:49 da haqdor: -19762.63
121205018434,Connect,09.04.2024 16:25:50 da haqdor: -56490.02
111210023758,Disconnect,09.04.2024 16:25:50 da qarzdor: 218346.71
111200037845,Connect,09.04.2024 16:25:50 da haqdor: -25641.97
111190412517,Disconnect,09.04.2024 16:25:50 da qarzdor: 106391.22
111190363283,Connect,09.04.2024 16:25:50 da haqdor: -14769.17
EX-2171870,Connect,09.04.2024 16:25:50 da haqdor: -198095.9
121205863889,Connect,09.04.2024 16:25:50 da haqdor: -3147.15
121206900661,Connect,09.04.2024 16:25:50 da haqdor: -39020.19
EX-2746496,Connect,09.04.2024 16:25:50 da haqdor: -439879.2
111190098327,Disconnect,09.04.2024 16:25:50 da qarzdor: 57894.5
EX-2929486,Connect,09.04.2024 16:25:50 da haqdor: -79038.51
EX-3377405,Connect,09.04.2024 16:25:50 da haqdor: -8461.23
EX-2644322,Connect,09.04.2024 16:25:50 da haqdor: -73951.1
EX-2217865,Connect,09.04.2024 16:25:50 da haqdor: -93304.58
111210785758,Disconnect,09.04.2024 16:25:50 da qarzdor: 52427.54
EX-2980409,Connect,09.04.2024 16:25:50 da haqdor: -9944
111210472943,Disconnect,09.04.2024 16:25:50 da qarzdor: 131481.87
021190280109,Connect,09.04.2024 16:25:50 da haqdor: -105488.72
EX-3048291,Connect,09.04.2024 16:25:51 da haqdor: -77997.52
123200514425,Connect,09.04.2024 16:25:51 da haqdor: -60868.87
021190319234,Connect,09.04.2024 16:25:51 da haqdor: -121843.27
EX-2430990,Connect,09.04.2024 16:25:51 da haqdor: -56038.54
EX-3474162,Connect,09.04.2024 16:25:51 da haqdor: -26458.17
121206096207,Connect,09.04.2024 16:25:51 da haqdor: -16539.49
121205358220,Connect,09.04.2024 16:25:51 da haqdor: -11456.54
121206257072,Disconnect,09.04.2024 16:25:51 da qarzdor: 4389.82
121206581646,Connect,09.04.2024 16:25:51 da haqdor: -286919.56
201840005062,Connect,09.04.2024 16:25:51 da haqdor: -97642.76
021180169081,Connect,09.04.2024 16:25:51 da haqdor: -28914.77
EX-2170198,Connect,09.04.2024 16:25:51 da haqdor: -55455.05
113210058495,Disconnect,09.04.2024 16:25:51 da qarzdor: 1271891.52
111200934233,Connect,09.04.2024 16:25:51 da haqdor: -9712.21
121205730301,Connect,09.04.2024 16:25:51 da haqdor: -141209.72
121205157517,Connect,09.04.2024 16:25:51 da haqdor: -2997.25
111210482335,Connect,09.04.2024 16:25:51 da haqdor: -73135.86
121206669630,Connect,09.04.2024 16:25:51 da haqdor: -47598.74
021190578521,Connect,09.04.2024 16:25:51 da haqdor: -7143.6
201820024372,Connect,09.04.2024 16:25:52 da haqdor: -12148.44
111210830036,Connect,09.04.2024 16:25:52 da haqdor: -95693.15
123200300169,Connect,09.04.2024 16:25:52 da haqdor: -17858.11
123200460374,Connect,09.04.2024 16:25:52 da haqdor: -40349.73
111230200566,Connect,09.04.2024 16:25:52 da haqdor: -90976.55
121206042419,Connect,09.04.2024 16:25:52 da haqdor: -19966
111210671857,Disconnect,09.04.2024 16:25:52 da qarzdor: 214248.27
111210083180,Connect,09.04.2024 16:25:52 da haqdor: -3295.37
111210620446,Connect,09.04.2024 16:25:52 da haqdor: -54659.81
111200855158,Connect,09.04.2024 16:25:52 da haqdor: -57929.2
201830019725,Connect,09.04.2024 16:25:52 da haqdor: -207809.7
121205876679,Connect,09.04.2024 16:25:52 da haqdor: -12357.96
EX-3180893,Connect,09.04.2024 16:25:52 da haqdor: -192126.01
EX-2305887,Connect,09.04.2024 16:25:52 da haqdor: -189308.13
121205445196,Connect,09.04.2024 16:25:52 da haqdor: -41233.84
121206587062,Connect,09.04.2024 16:25:52 da haqdor: -94010.71
111210468915,Connect,09.04.2024 16:25:52 da haqdor: -199036.5
021190570770,Connect,09.04.2024 16:25:52 da haqdor: -39259.68
EX-2701012,Connect,09.04.2024 16:25:53 da haqdor: -38675.6
021191102254,Connect,09.04.2024 16:25:53 da haqdor: -80242.96
EX-3183165,Connect,09.04.2024 16:25:53 da haqdor: -3731.83
EX-2093840,Connect,09.04.2024 16:25:53 da haqdor: -24443.47
111190228834,Connect,09.04.2024 16:25:53 da haqdor: -70140.2
EX-2873633,Disconnect,09.04.2024 16:25:53 da qarzdor: 1325640.98
021190670337,Connect,09.04.2024 16:25:53 da haqdor: -23998.7
021190236590,Connect,09.04.2024 16:25:53 da haqdor: -77796.69
111230241995,Disconnect,09.04.2024 16:25:53 da qarzdor: 2799.45
111210142069,Connect,09.04.2024 16:25:53 da haqdor: -16137.93
EX-2334544,Connect,09.04.2024 16:25:53 da haqdor: -29120.6
