METER_NO,TASK,REASON
111201112751,Connect,16.04.2024 17:32:04 da haqdor: -167.53
111210380041,Connect,16.04.2024 17:32:04 da haqdor: -41357.3
111210829730,Connect,16.04.2024 17:32:04 da haqdor: -58548.8
111220195312,Connect,16.04.2024 17:32:04 da haqdor: -872.45
111200666551,Connect,16.04.2024 17:32:04 da haqdor: -39592.61
111201112849,Connect,16.04.2024 17:32:04 da haqdor: -51855.4
111201119193,Connect,16.04.2024 17:32:04 da haqdor: -7594.34
111210377549,Connect,16.04.2024 17:32:04 da haqdor: -5496.4
111201114017,Connect,16.04.2024 17:32:04 da haqdor: -14664.94
111210319521,Connect,16.04.2024 17:32:04 da haqdor: -481.38
111210161096,Connect,16.04.2024 17:32:04 da haqdor: -52775.27
111220147042,Connect,16.04.2024 17:32:04 da haqdor: -6127.92
111210382559,Connect,16.04.2024 17:32:04 da haqdor: -6539.15
111220176323,Disconnect,16.04.2024 17:32:04 da qarzdor: 476395.14
111230241493,Connect,16.04.2024 17:32:04 da haqdor: -187592.78
121206650981,Connect,16.04.2024 17:32:04 da haqdor: -25383.86
111230233175,Connect,16.04.2024 17:32:04 da haqdor: -69758.65
111230231681,Connect,16.04.2024 17:32:04 da haqdor: -52930.58
111230229014,Connect,16.04.2024 17:32:05 da haqdor: -64745
111210775835,Connect,16.04.2024 17:32:05 da haqdor: -55703.81
111230233445,Connect,16.04.2024 17:32:05 da haqdor: -140097.74
111230269687,Connect,16.04.2024 17:32:05 da haqdor: -106578.14
111220068307,Connect,16.04.2024 17:32:05 da haqdor: -59037.15
111210704440,Connect,16.04.2024 17:32:05 da haqdor: -170128.83
111210176538,Connect,16.04.2024 17:32:05 da haqdor: -7405.18
111200983294,Connect,16.04.2024 17:32:05 da haqdor: -9696.48
111210410428,Connect,16.04.2024 17:32:05 da haqdor: -3136.1
111200861625,Connect,16.04.2024 17:32:05 da haqdor: -33155.83
111200678889,Connect,16.04.2024 17:32:05 da haqdor: -59237.77
111200893113,Connect,16.04.2024 17:32:06 da haqdor: -57242.3
111200965262,Connect,16.04.2024 17:32:06 da haqdor: -9957.36
021230312272,Disconnect,16.04.2024 17:32:06 da qarzdor: 0
021191051331,Connect,16.04.2024 17:32:06 da haqdor: -24052.68
021190544278,Disconnect,16.04.2024 17:32:06 da qarzdor: 7292.2
021190323128,Disconnect,16.04.2024 17:32:06 da qarzdor: 8275206.47
021190715332,Disconnect,16.04.2024 17:32:06 da qarzdor: 128563.85
021180144040,Connect,16.04.2024 17:32:06 da haqdor: -4966.33
021190710607,Connect,16.04.2024 17:32:06 da haqdor: -50624.33
021221200627,Disconnect,16.04.2024 17:32:06 da qarzdor: 384155
021190435431,Connect,16.04.2024 17:32:06 da haqdor: -60968.99
201930004684,Disconnect,16.04.2024 17:32:06 da qarzdor: 5359417.2
111190054978,Disconnect,16.04.2024 17:32:06 da qarzdor: 195239.51
111190003184,Disconnect,16.04.2024 17:32:06 da qarzdor: 8476055.45
201910029782,Connect,16.04.2024 17:32:06 da haqdor: -14699.57
111201067172,Disconnect,16.04.2024 17:32:06 da qarzdor: 350367.31
111210196816,Disconnect,16.04.2024 17:32:06 da qarzdor: 56173.13
111210323877,Disconnect,16.04.2024 17:32:06 da qarzdor: 18944.66
021191114848,Connect,16.04.2024 17:32:06 da haqdor: -19182.41
111190403322,Disconnect,16.04.2024 17:32:07 da qarzdor: 1499174.86
111200971068,Connect,16.04.2024 17:32:07 da haqdor: -48578.74
111200620762,Disconnect,16.04.2024 17:32:07 da qarzdor: 10423.31
111200351814,Disconnect,16.04.2024 17:32:07 da qarzdor: 70299.5
111200333337,Disconnect,16.04.2024 17:32:07 da qarzdor: 774353.58
111220190151,Connect,16.04.2024 17:32:07 da haqdor: -21241.8
111190088758,Disconnect,16.04.2024 17:32:07 da qarzdor: 474.91
023190012298,Connect,16.04.2024 17:32:07 da haqdor: -81241.5
111220195136,Connect,16.04.2024 17:32:07 da haqdor: -908310
EX-3095072,Disconnect,16.04.2024 17:32:07 da qarzdor: 105452.05
021190957961,Disconnect,16.04.2024 17:32:07 da qarzdor: 1045
111230206619,Disconnect,16.04.2024 17:32:07 da qarzdor: 321666.48
111200015808,Disconnect,16.04.2024 17:32:07 da qarzdor: 141.39
111210050694,Connect,16.04.2024 17:32:07 da haqdor: -25890.33
121206329120,Connect,16.04.2024 17:32:07 da haqdor: -16834.6
111200675426,Disconnect,16.04.2024 17:32:07 da qarzdor: 7292956.58
111210104417,Connect,16.04.2024 17:32:07 da haqdor: -9520.2
111210098414,Connect,16.04.2024 17:32:07 da haqdor: -7774.5
111210162974,Connect,16.04.2024 17:32:08 da haqdor: -3206.27
111200807250,Connect,16.04.2024 17:32:08 da haqdor: -18520.41
111210027902,Connect,16.04.2024 17:32:08 da haqdor: -123435.23
111200261199,Disconnect,16.04.2024 17:32:08 da qarzdor: 446029.76
111210276358,Disconnect,16.04.2024 17:32:08 da qarzdor: 313978.54
113210177617,Disconnect,16.04.2024 17:32:08 da qarzdor: 142333.12
111190060673,Disconnect,16.04.2024 17:32:08 da qarzdor: 21497.12
121205587433,Disconnect,16.04.2024 17:32:08 da qarzdor: 1230.72
121205563900,Disconnect,16.04.2024 17:32:08 da qarzdor: 625.76
121206894267,Disconnect,16.04.2024 17:32:08 da qarzdor: 1967.37
EX-3022348,Connect,16.04.2024 17:32:08 da haqdor: -49251.86
111200267108,Disconnect,16.04.2024 17:32:08 da qarzdor: 1752.63
111210729010,Disconnect,16.04.2024 17:32:08 da qarzdor: 211026.38
121205142628,Disconnect,16.04.2024 17:32:08 da qarzdor: 327.01
111210196810,Disconnect,16.04.2024 17:32:08 da qarzdor: 176546.28
111190412085,Disconnect,16.04.2024 17:32:08 da qarzdor: 114585.32
111200178040,Disconnect,16.04.2024 17:32:08 da qarzdor: 52083.48
111200320661,Disconnect,16.04.2024 17:32:08 da qarzdor: 1020.1
021190927572,Disconnect,16.04.2024 17:32:08 da qarzdor: 8460.8
021180016614,Disconnect,16.04.2024 17:32:09 da qarzdor: 2108.19
111200974900,Disconnect,16.04.2024 17:32:09 da qarzdor: 65731.41
111200625544,Disconnect,16.04.2024 17:32:09 da qarzdor: 232613.56
